chief_complaint_raw,cc_stripped
moderate-large pulmonary embolism,-large pulmonary embolism
moderate-large pulmonary embolism in known patient,-large pulmonary embolism
"moderate-large pulmonary embolism, constant",-large pulmonary embolism
"moderate-large pulmonary embolism, for 2 days",-large pulmonary embolism
"moderate-large pulmonary embolism, intermittent",-large pulmonary embolism
"moderate-large pulmonary embolism, no prior history of this",-large pulmonary embolism
"moderate-large pulmonary embolism, onset today",-large pulmonary embolism
"moderate-large pulmonary embolism, since yesterday",-large pulmonary embolism
"moderate-large pulmonary embolism, worsening with movement",-large pulmonary embolism
moderate-large pulmonary embolism，worsening over hours,-large pulmonary embolism
moderate-large pulmonary embolism with associated nausea,-large pulmonary embolism with associated nausea
moderate-large pulmonary embolism with diaphoresis,-large pulmonary embolism with diaphoresis
moderate-large pulmonary embolism with fever,-large pulmonary embolism with fever
moderate-large pulmonary embolism with rigors,-large pulmonary embolism with rigors
moderate-large pulmonary embolism with vomiting,-large pulmonary embolism with vomiting
Cushing features query,Cushing features query
Cushing features query in known patient,Cushing features query
"Cushing features query, constant",Cushing features query
"Cushing features query, for 2 days",Cushing features query
"Cushing features query, intermittent",Cushing features query
"Cushing features query, no prior history of this",Cushing features query
"Cushing features query, onset today",Cushing features query
"Cushing features query, since yesterday",Cushing features query
"Cushing features query, worsening with movement",Cushing features query
Cushing features query，worsening over hours,Cushing features query
Cushing features query with associated nausea,Cushing features query with associated nausea
Cushing features query with diaphoresis,Cushing features query with diaphoresis
Cushing features query with fever,Cushing features query with fever
Cushing features query with rigors,Cushing features query with rigors
Cushing features query with vomiting,Cushing features query with vomiting
DKA moderate,DKA
DKA moderate in known patient,DKA
"DKA moderate, constant",DKA
"DKA moderate, for 2 days",DKA
"DKA moderate, intermittent",DKA
"DKA moderate, no prior history of this",DKA
"DKA moderate, onset today",DKA
"DKA moderate, since yesterday",DKA
"DKA moderate, worsening with movement",DKA
DKA moderate，worsening over hours,DKA
DKA moderate with associated nausea,DKA  with associated nausea
DKA moderate with diaphoresis,DKA  with diaphoresis
DKA moderate with fever,DKA  with fever
DKA moderate with rigors,DKA  with rigors
DKA moderate with vomiting,DKA  with vomiting
ECG result inquiry,ECG result inquiry
ECG result inquiry in known patient,ECG result inquiry
"ECG result inquiry, constant",ECG result inquiry
"ECG result inquiry, for 2 days",ECG result inquiry
"ECG result inquiry, intermittent",ECG result inquiry
"ECG result inquiry, no prior history of this",ECG result inquiry
"ECG result inquiry, onset today",ECG result inquiry
"ECG result inquiry, since yesterday",ECG result inquiry
"ECG result inquiry, worsening with movement",ECG result inquiry
ECG result inquiry，worsening over hours,ECG result inquiry
ECG result inquiry with associated nausea,ECG result inquiry with associated nausea
ECG result inquiry with diaphoresis,ECG result inquiry with diaphoresis
ECG result inquiry with fever,ECG result inquiry with fever
ECG result inquiry with rigors,ECG result inquiry with rigors
ECG result inquiry with vomiting,ECG result inquiry with vomiting
IBS follow-up,IBS follow-up
IBS follow-up in known patient,IBS follow-up
"IBS follow-up, constant",IBS follow-up
"IBS follow-up, for 2 days",IBS follow-up
"IBS follow-up, intermittent",IBS follow-up
"IBS follow-up, no prior history of this",IBS follow-up
"IBS follow-up, onset today",IBS follow-up
"IBS follow-up, since yesterday",IBS follow-up
"IBS follow-up, worsening with movement",IBS follow-up
IBS follow-up，worsening over hours,IBS follow-up
IBS follow-up with associated nausea,IBS follow-up with associated nausea
IBS follow-up with diaphoresis,IBS follow-up with diaphoresis
IBS follow-up with fever,IBS follow-up with fever
IBS follow-up with rigors,IBS follow-up with rigors
IBS follow-up with vomiting,IBS follow-up with vomiting
STI with systemic features,STI with systemic features
STI with systemic features in known patient,STI with systemic features
"STI with systemic features, constant",STI with systemic features
"STI with systemic features, for 2 days",STI with systemic features
"STI with systemic features, intermittent",STI with systemic features
"STI with systemic features, no prior history of this",STI with systemic features
"STI with systemic features, onset today",STI with systemic features
"STI with systemic features, since yesterday",STI with systemic features
"STI with systemic features, worsening with movement",STI with systemic features
STI with systemic features，worsening over hours,STI with systemic features
